epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2735,0.8117,2.23864,1.25645,0.72094,0.53275,0.59313,0.45146,0.82658,2.33908,1.38442,0.000468394,0.000468394,0.000468394
2,39.3468,0.85984,1.5551,1.25203,0.50902,0.52657,0.4972,0.35378,1.1315,2.02356,1.63857,0.000926022,0.000926022,0.000926022
3,57.0558,0.93529,1.48672,1.28845,0.74721,0.28743,0.4627,0.2654,1.2447,2.68676,1.78178,0.00136479,0.00136479,0.00136479
4,74.4987,0.95879,1.39387,1.30343,0.64224,0.6006,0.61939,0.42624,0.90414,2.11683,1.39455,0.00134412,0.00134412,0.00134412
5,92.2042,0.93778,1.29541,1.28545,0.74294,0.63455,0.7282,0.51812,0.87111,1.71508,1.40442,0.00131582,0.00131582,0.00131582
6,108.643,0.90909,1.16717,1.28187,0.79866,0.74498,0.82313,0.61921,0.84863,1.09349,1.32948,0.00128753,0.00128753,0.00128753
7,126.06,0.87136,1.07826,1.24595,0.81716,0.66438,0.75274,0.6054,0.78957,1.16816,1.26827,0.00125923,0.00125923,0.00125923
8,143.135,0.86692,1.06299,1.23851,0.74112,0.83224,0.8458,0.70635,0.65407,1.06672,1.17669,0.00123094,0.00123094,0.00123094
9,160.248,0.84723,1.02701,1.23664,0.75342,0.65391,0.64428,0.53031,0.67293,1.61121,1.18374,0.00120265,0.00120265,0.00120265
10,177.475,0.84377,0.99657,1.22901,0.69833,0.62266,0.69831,0.52297,0.81645,1.56665,1.31384,0.00117435,0.00117435,0.00117435
11,194.885,0.81211,0.93438,1.2198,0.73912,0.78771,0.8605,0.68298,0.70675,1.00849,1.17818,0.00114606,0.00114606,0.00114606
12,211.226,0.7832,0.87918,1.17813,0.76409,0.67225,0.77757,0.64834,0.68985,1.1775,1.16919,0.00111776,0.00111776,0.00111776
13,228.859,0.83662,0.85679,1.21497,0.83316,0.84069,0.87855,0.70901,0.65093,0.90049,1.13862,0.00108947,0.00108947,0.00108947
14,246.485,0.78678,0.82723,1.18349,0.89803,0.87344,0.9099,0.76758,0.57,0.65894,1.06928,0.00106118,0.00106118,0.00106118
15,263.611,0.77185,0.78416,1.17658,0.87439,0.85555,0.89356,0.76361,0.57418,0.6535,1.06588,0.00103288,0.00103288,0.00103288
16,280.485,0.75617,0.77479,1.16813,0.7708,0.86312,0.87189,0.72471,0.6763,0.8675,1.1638,0.00100459,0.00100459,0.00100459
17,298.224,0.74865,0.74506,1.16496,0.89787,0.8597,0.92248,0.77006,0.60637,0.75721,1.12225,0.000976293,0.000976293,0.000976293
18,315.049,0.73465,0.70546,1.15164,0.87273,0.76266,0.88119,0.70503,0.72081,0.77083,1.1763,0.000947999,0.000947999,0.000947999
19,331.861,0.73009,0.69877,1.15425,0.87719,0.81606,0.90101,0.76092,0.59146,0.64741,1.10097,0.000919704,0.000919704,0.000919704
20,349.753,0.73577,0.70082,1.15138,0.93868,0.89823,0.92644,0.78775,0.5743,0.62605,1.08575,0.00089141,0.00089141,0.00089141
21,366.413,0.72442,0.7098,1.14146,0.86076,0.75275,0.88269,0.73499,0.58572,0.8303,1.07433,0.000863116,0.000863116,0.000863116
22,383.067,0.70871,0.68521,1.14059,0.94381,0.76996,0.93129,0.81156,0.54829,0.70446,1.05031,0.000834822,0.000834822,0.000834822
23,400.627,0.67545,0.63021,1.12039,0.90478,0.89665,0.92165,0.78431,0.56712,0.67408,1.05947,0.000806528,0.000806528,0.000806528
24,417.383,0.69074,0.63504,1.12961,0.92699,0.85544,0.91678,0.79992,0.52698,0.58022,1.03809,0.000778233,0.000778233,0.000778233
25,434.301,0.6905,0.6289,1.12859,0.8346,0.90852,0.91893,0.78578,0.52576,0.64546,1.01324,0.000749939,0.000749939,0.000749939
26,451.982,0.65741,0.59169,1.10777,0.90411,0.91104,0.93889,0.835,0.48161,0.52857,0.98989,0.000721645,0.000721645,0.000721645
27,468.423,0.66332,0.60719,1.10996,0.92667,0.91937,0.92854,0.81404,0.51984,0.5742,1.0073,0.000693351,0.000693351,0.000693351
28,484.934,0.66107,0.59365,1.10747,0.86459,0.92439,0.91673,0.81989,0.49331,0.59771,1.00562,0.000665057,0.000665057,0.000665057
29,502.939,0.65868,0.5913,1.12078,0.92128,0.87592,0.92935,0.80469,0.5529,0.58158,1.06657,0.000636762,0.000636762,0.000636762
30,519.565,0.66154,0.57592,1.101,0.92677,0.91277,0.92263,0.81669,0.48847,0.5219,0.98921,0.000608468,0.000608468,0.000608468
31,536.337,0.62631,0.5487,1.08919,0.92851,0.89959,0.90404,0.79171,0.52805,0.57048,1.03639,0.000580174,0.000580174,0.000580174
32,554.036,0.63424,0.55653,1.09795,0.89984,0.91936,0.94074,0.84315,0.50268,0.54487,0.99246,0.00055188,0.00055188,0.00055188
33,570.925,0.6108,0.52976,1.08838,0.9369,0.88828,0.93798,0.84575,0.47303,0.53321,0.99298,0.000523586,0.000523586,0.000523586
34,587.617,0.63642,0.54992,1.10203,0.93054,0.91983,0.93727,0.84668,0.45644,0.49722,0.96401,0.000495291,0.000495291,0.000495291
35,605.71,0.61095,0.50208,1.07397,0.87216,0.9349,0.93837,0.8509,0.4529,0.46129,0.96569,0.000466997,0.000466997,0.000466997
36,623.26,0.60784,0.49787,1.08588,0.94295,0.91959,0.93471,0.84443,0.47278,0.50481,0.98526,0.000438703,0.000438703,0.000438703
37,640.584,0.60754,0.48757,1.06781,0.94532,0.92037,0.94188,0.84086,0.46365,0.46453,0.95331,0.000410409,0.000410409,0.000410409
38,658.448,0.59481,0.47489,1.07204,0.94602,0.93878,0.92424,0.83959,0.46484,0.50524,0.97378,0.000382115,0.000382115,0.000382115
39,675.703,0.5732,0.45794,1.05716,0.94271,0.93825,0.93471,0.84239,0.47263,0.48354,0.96736,0.00035382,0.00035382,0.00035382
40,692.704,0.57172,0.46854,1.06193,0.91645,0.93504,0.91775,0.82877,0.46521,0.492,0.97139,0.000325526,0.000325526,0.000325526
41,713.198,0.41044,0.34839,0.95206,0.92724,0.90962,0.91791,0.83153,0.46025,0.50711,0.98037,0.000297232,0.000297232,0.000297232
42,730.194,0.39107,0.33068,0.94239,0.92726,0.92061,0.92982,0.83685,0.45103,0.50796,0.96366,0.000268938,0.000268938,0.000268938
43,747.561,0.37724,0.32494,0.92342,0.90904,0.87842,0.91896,0.82915,0.4343,0.51521,0.96543,0.000240644,0.000240644,0.000240644
44,765.298,0.3757,0.32248,0.93808,0.92103,0.89856,0.91971,0.84035,0.4548,0.54018,0.98597,0.000212349,0.000212349,0.000212349
45,782.01,0.37327,0.3021,0.92793,0.9096,0.91282,0.92833,0.85257,0.43271,0.48,0.96772,0.000184055,0.000184055,0.000184055
46,798.208,0.35657,0.29177,0.92809,0.91017,0.9091,0.92998,0.84465,0.42734,0.49976,0.95198,0.000155761,0.000155761,0.000155761
47,815.933,0.34757,0.27688,0.91523,0.91979,0.89945,0.93113,0.84881,0.42414,0.47901,0.94419,0.000127467,0.000127467,0.000127467
48,832.073,0.33981,0.27356,0.91355,0.91415,0.90047,0.9221,0.84613,0.42309,0.51218,0.94979,9.91726e-05,9.91726e-05,9.91726e-05
49,848.563,0.33905,0.27704,0.92101,0.91454,0.91316,0.93873,0.85158,0.43163,0.46338,0.95425,7.08784e-05,7.08784e-05,7.08784e-05
50,866.207,0.3371,0.26904,0.91289,0.9284,0.91444,0.93561,0.85437,0.43086,0.456,0.95851,4.25842e-05,4.25842e-05,4.25842e-05
